id,name,web_name,surname_key,team,position,status,now_cost,total_points,minutes,goals_scored,assists,TotalShots,ShotsOnTarget,Passes,AccuratePasses,FirstHalfShots
6,William Saliba,Saliba,saliba,Arsenal,DEF,a,60,39,724,0,0,,,706.0,666.0,
7,Riccardo Calafiori,Calafiori,calafiori,Arsenal,DEF,a,58,61,856,1,2,19.0,,,,12.0
11,Benjamin White,White,white,Arsenal,DEF,a,53,6,70,0,0,25.0,8.0,,,11.0
16,Bukayo Saka,Saka,saka,Arsenal,MID,a,101,45,681,3,0,17.0,8.0,,,8.0
20,Leandro Trossard,Trossard,trossard,Arsenal,MID,a,69,40,642,2,2,15.0,,,,
21,Declan Rice,Rice,rice,Arsenal,MID,a,69,65,893,2,4,,,651.0,591.0,7.0
26,Martín Zubimendi Ibáñez,Zubimendi,zubimendi,Arsenal,MID,a,54,48,937,2,1,,,702.0,624.0,
266,Eberechi Eze,Eze,eze,Arsenal,MID,a,76,41,700,1,3,25.0,8.0,,,18.0
666,Viktor Gyökeres,Gyökeres,gyokeres,Arsenal,FWD,d,89,37,801,4,0,20.0,8.0,,,9.0
36,Matty Cash,Cash,cash,Aston Villa,DEF,a,46,52,966,2,0,,5.0,,,7.0
38,Ezri Konsa Ngoyo,Konsa,konsa,Aston Villa,DEF,a,44,33,875,0,0,,,614.0,582.0,
47,Morgan Rogers,Rogers,rogers,Aston Villa,MID,a,68,35,976,1,2,,6.0,,,
50,Emiliano Buendía Stati,Buendía,buendia,Aston Villa,MID,a,53,39,435,3,2,15.0,,,,
64,Ollie Watkins,Watkins,watkins,Aston Villa,FWD,a,85,27,866,1,0,17.0,,,,10.0
200,Jaidon Anthony,Anthony,anthony,Burnley,MID,a,56,49,886,4,1,14.0,8.0,,,
205,Josh Cullen,Cullen,cullen,Burnley,MID,a,50,53,941,2,1,,5.0,531.0,459.0,
66,Norberto Murara Neto,Neto,neto,Bournemouth,GKP,u,45,0,0,0,0,15.0,6.0,,,
72,Marcos Senesi Barón,Senesi,senesi,Bournemouth,DEF,a,50,58,977,0,2,,,662.0,527.0,
82,Antoine Semenyo,Semenyo,semenyo,Bournemouth,MID,a,81,75,990,6,4,23.0,14.0,,,10.0
84,Marcus Tavernier,Tavernier,tavernier,Bournemouth,MID,a,55,47,856,2,1,18.0,,,,10.0
85,Tyler Adams,Adams,adams,Bournemouth,MID,a,50,37,953,1,1,,5.0,526.0,452.0,
86,David Brooks,Brooks,brooks,Bournemouth,MID,a,50,21,549,0,1,16.0,,,,7.0
93,Hamed Traorè,H.Traorè,traore,Bournemouth,MID,u,45,4,16,0,1,,,,,8.0
97,Francisco Evanilson de Lima Barbosa,Evanilson,evanilson,Bournemouth,FWD,a,70,25,721,1,1,17.0,5.0,,,12.0
713,Álex Jiménez Sánchez,A.Jimenez,jimenez,Bournemouth,DEF,a,45,8,409,0,0,14.0,,,,9.0
106,Nathan Collins,Collins,collins,Brentford,DEF,a,49,32,990,0,0,,,493.0,404.0,
113,Sepp van den Berg,Van den Berg,berg,Brentford,DEF,a,45,34,990,0,0,,,,402.0,
120,Kevin Schade,Schade,schade,Brentford,MID,a,70,40,920,3,2,18.0,7.0,,,12.0
124,Jordan Henderson,Henderson,henderson,Brentford,MID,a,50,29,829,0,2,,,470.0,,
127,Gustavo Nunes Fernandes Gomes,Nunes,nunes,Brentford,MID,a,49,0,0,0,0,,,539.0,475.0,
136,Igor Thiago Nascimento Rodrigues,Thiago,thiago,Brentford,FWD,a,63,60,921,8,0,25.0,15.0,,,11.0
224,Marc Cucurella Saseta,Cucurella,cucurella,Chelsea,DEF,a,61,49,896,0,2,,,524.0,463.0,8.0
225,Reece James,James,james,Chelsea,DEF,a,56,46,706,1,3,,,507.0,450.0,
226,Trevoh Chalobah,Chalobah,chalobah,Chelsea,DEF,a,51,55,840,2,1,,,708.0,652.0,
231,Mamadou Sarr,M.Sarr,sarr,Chelsea,DEF,u,45,0,0,0,0,,,,,9.0
236,Pedro Lomba Neto,Neto,neto,Chelsea,MID,d,71,52,829,3,2,15.0,6.0,,,
241,Moisés Caicedo Corozo,Caicedo,caicedo,Chelsea,MID,a,61,60,945,3,1,,,633.0,574.0,
249,João Pedro Junqueira de Jesus,João Pedro,pedro,Chelsea,FWD,a,75,59,929,4,3,19.0,10.0,,,10.0
253,Dean Henderson,Henderson,henderson,Crystal Palace,GKP,a,50,45,990,0,0,,,470.0,,
256,Daniel Muñoz Mejía,Muñoz,munoz,Crystal Palace,DEF,a,57,60,990,1,3,,6.0,,,
257,Maxence Lacroix,Lacroix,lacroix,Crystal Palace,DEF,a,50,56,990,0,1,,,454.0,388.0,
260,Marc Guéhi,Guéhi,guehi,Crystal Palace,DEF,d,51,64,900,1,3,,,512.0,439.0,
267,Ismaïla Sarr,Sarr,sarr,Crystal Palace,MID,a,67,46,792,3,1,,,,,9.0
283,Jean-Philippe Mateta,Mateta,mateta,Crystal Palace,FWD,a,81,50,959,6,0,32.0,18.0,,,16.0
291,James Tarkowski,Tarkowski,tarkowski,Everton,DEF,a,54,43,990,0,0,,,487.0,394.0,
299,Iliman Ndiaye,Ndiaye,ndiaye,Everton,MID,a,66,55,914,4,1,,8.0,,,8.0
303,James Garner,Garner,garner,Everton,MID,a,50,42,990,1,1,20.0,,501.0,441.0,
311,Norberto Bercique Gomes Betuncal,Beto,beto,Everton,FWD,a,52,21,606,1,0,14.0,,,,
419,Jack Grealish,Grealish,grealish,Everton,MID,a,68,43,826,1,4,,6.0,,,
630,Tom King,King,king,Everton,GKP,a,39,0,0,0,0,,,,,8.0
317,Joachim Andersen,Andersen,andersen,Fulham,DEF,a,45,39,851,0,0,,,617.0,519.0,
318,Calvin Bassey,Bassey,bassey,Fulham,DEF,a,45,28,908,0,0,,,598.0,526.0,
324,Alex Iwobi,Iwobi,iwobi,Fulham,MID,a,65,40,899,1,2,14.0,,450.0,,8.0
329,Harry Wilson,Wilson,wilson,Fulham,MID,a,52,34,652,2,1,19.0,8.0,,,11.0
330,Sander Berge,Berge,berge,Fulham,MID,a,49,27,958,0,1,,,489.0,435.0,
335,Josh King,King,king,Fulham,MID,a,45,19,659,0,0,,,,,8.0
343,Pascal Struijk,Struijk,struijk,Leeds,DEF,a,44,25,728,0,0,,,526.0,486.0,
348,Joe Rodon,Rodon,rodon,Leeds,DEF,a,41,46,990,2,0,,,626.0,561.0,
350,Brenden Aaronson,Aaronson,aaronson,Leeds,MID,a,54,41,709,1,3,14.0,5.0,,,8.0
