id,name,web_name,surname_key,team,position,status,now_cost,total_points,minutes,goals_scored,assists,TotalShots,ShotsOnTarget,Passes,AccuratePasses,FirstHalfShots
267,Ismaïla Sarr,Sarr,sarr,Crystal Palace,MID,a,67,46,792,3,1,,,,,9.0
268,Cheick Doucouré,Doucouré,doucoure,Crystal Palace,MID,i,49,0,0,0,0,,,,,
269,Romain Esse,Esse,esse,Crystal Palace,MID,a,47,1,24,0,0,,,,,
270,Will Hughes,Hughes,hughes,Crystal Palace,MID,a,48,14,446,0,0,,,,,
271,Daichi Kamada,Kamada,kamada,Crystal Palace,MID,a,50,32,758,0,2,,,,,
272,Jefferson Lerma Solís,Lerma,lerma,Crystal Palace,MID,a,49,21,360,0,2,,,,,
273,Adam Wharton,Wharton,wharton,Crystal Palace,MID,a,50,26,696,0,1,,,,,
274,Asher Agbinone,Agbinone,agbinone,Crystal Palace,MID,a,44,0,0,0,0,,,,,
275,Naouirou Ahamada,Ahamada,ahamada,Crystal Palace,MID,a,44,0,0,0,0,,,,,
276,Justin Devenny,Devenny,devenny,Crystal Palace,MID,a,43,9,157,0,0,,,,,
277,Malcolm Ebiowei,Ebiowei,ebiowei,Crystal Palace,MID,u,45,0,0,0,0,,,,,
278,Jesurun Rak-Sakyi,J.Rak-Sakyi,sakyi,Crystal Palace,MID,u,44,0,0,0,0,,,,,
279,Matheus França de Oliveira,M.França,franca,Crystal Palace,MID,u,45,0,0,0,0,,,,,
280,David Ozoh,Ozoh,ozoh,Crystal Palace,MID,u,45,0,0,0,0,,,,,
281,Kaden Rodney,Rodney,rodney,Crystal Palace,MID,a,45,0,0,0,0,,,,,
282,Franco Umeh-Chibueze,Umeh,umeh,Crystal Palace,MID,u,45,0,0,0,0,,,,,
283,Jean-Philippe Mateta,Mateta,mateta,Crystal Palace,FWD,a,81,50,959,6,0,32.0,18.0,,,16.0
284,Eddie Nketiah,Nketiah,nketiah,Crystal Palace,FWD,i,54,8,107,1,0,,,,,
285,Odsonne Édouard,Édouard,edouard,Crystal Palace,FWD,u,50,1,2,0,0,,,,,
286,Zach Marsh,Marsh,marsh,Crystal Palace,FWD,a,45,0,0,0,0,,,,,
690,Rio Cardines,Cardines,cardines,Crystal Palace,MID,d,44,0,0,0,0,,,,,
712,Yéremy Pino Santos,Yeremy,yeremy,Crystal Palace,MID,a,58,15,529,0,0,,,,,
723,Jaydee Canvot,Canvot,canvot,Crystal Palace,DEF,a,45,11,91,0,0,,,,,
732,Christantus Uche,Uche,uche,Crystal Palace,FWD,a,55,3,8,0,0,,,,,
242,Kiernan Dewsbury-Hall,Dewsbury-Hall,hall,Everton,MID,a,49,35,885,1,2,,,,,
287,Jordan Pickford,Pickford,pickford,Everton,GKP,a,55,42,990,0,0,,,,,
288,Mark Travers,Travers,travers,Everton,GKP,a,44,0,0,0,0,,,,,
289,Harry Tyrer,Tyrer,tyrer,Everton,GKP,a,39,0,0,0,0,,,,,
290,Jarrad Branthwaite,Branthwaite,branthwaite,Everton,DEF,i,53,0,0,0,0,,,,,
291,James Tarkowski,Tarkowski,tarkowski,Everton,DEF,a,54,43,990,0,0,,,487.0,394.0,
292,Vitalii Mykolenko,Mykolenko,mykolenko,Everton,DEF,a,49,17,715,0,0,,,,,
293,Jake O'Brien,O'Brien,brien,Everton,DEF,a,49,28,868,0,0,,,,,
294,Séamus Coleman,Coleman,coleman,Everton,DEF,a,43,2,2,0,0,,,,,
295,Michael Keane,Keane,keane,Everton,DEF,a,45,56,964,2,0,,,,,
296,Nathan Patterson,Patterson,patterson,Everton,DEF,i,44,0,0,0,0,,,,,
297,Roman Dixon,Dixon,dixon,Everton,DEF,a,39,0,0,0,0,,,,,
298,Reece Welch,Welch,welch,Everton,DEF,a,39,0,0,0,0,,,,,
299,Iliman Ndiaye,Ndiaye,ndiaye,Everton,MID,a,66,55,914,4,1,,8.0,,,8.0
300,Dwight McNeil,McNeil,mcneil,Everton,MID,a,55,3,51,0,0,,,,,
301,Carlos Alcaraz Durán,Alcaraz,alcaraz,Everton,MID,a,52,8,242,0,0,,,,,
302,Idrissa Gana Gueye,Gana,gana,Everton,MID,a,54,42,949,2,0,,,,,
303,James Garner,Garner,garner,Everton,MID,a,50,42,990,1,1,20.0,,501.0,441.0,
304,Tim Iroegbunam,Iroegbunam,iroegbunam,Everton,MID,a,49,18,337,0,2,,,,,
305,Harrison Armstrong,Armstrong,armstrong,Everton,MID,u,45,1,1,0,0,,,,,
306,Callum Bates,Bates,bates,Everton,MID,a,44,0,0,0,0,,,,,
307,Coby Ebere,Ebere,ebere,Everton,MID,a,44,0,0,0,0,,,,,
308,Isaac Heath,Heath,heath,Everton,MID,u,45,0,0,0,0,,,,,
309,Jenson Metcalfe,Metcalfe,metcalfe,Everton,MID,u,45,0,0,0,0,,,,,
310,Thierno Barry,Barry,barry,Everton,FWD,a,57,12,380,0,0,,,,,
311,Norberto Bercique Gomes Betuncal,Beto,beto,Everton,FWD,a,52,21,606,1,0,14.0,,,,
312,Youssef Ramalho Chermiti,Y.Chermiti,chermiti,Everton,FWD,u,49,0,0,0,0,,,,,
313,Martin Sherif,Sherif,sherif,Everton,FWD,u,44,0,0,0,0,,,,,
419,Jack Grealish,Grealish,grealish,Everton,MID,a,68,43,826,1,4,,6.0,,,
630,Tom King,King,king,Everton,GKP,a,39,0,0,0,0,,,,,8.0
667,Adam Aznou,Aznou,aznou,Everton,DEF,a,43,0,0,0,0,,,,,
704,Tyler Onyango,Onyango,onyango,Everton,MID,u,45,0,0,0,0,,,,,
705,Elijah Campbell,Campbell,campbell,Everton,DEF,a,39,0,0,0,0,,,,,
707,Tyler Dibling,Dibling,dibling,Everton,MID,a,54,3,62,0,0,,,,,
728,Merlin Röhl,Röhl,rohl,Everton,MID,a,50,4,91,0,0,,,,,
314,Bernd Leno,Leno,leno,Fulham,GKP,a,50,34,990,0,0,,,,,
315,Steven Benda,Benda,benda,Fulham,GKP,u,40,0,0,0,0,,,,,
316,Antonee Robinson,Robinson,robinson,Fulham,DEF,i,49,3,61,0,0,,,,,
317,Joachim Andersen,Andersen,andersen,Fulham,DEF,a,45,39,851,0,0,,,617.0,519.0,
318,Calvin Bassey,Bassey,bassey,Fulham,DEF,a,45,28,908,0,0,,,598.0,526.0,
319,Timothy Castagne,Castagne,castagne,Fulham,DEF,a,44,10,397,0,0,,,,,
320,Issa Diop,Diop,diop,Fulham,DEF,a,44,4,223,0,0,,,,,
321,Jorge Cuenca Barreno,J.Cuenca,cuenca,Fulham,DEF,a,44,7,168,0,0,,,,,
322,Kenny Tete,Tete,tete,Fulham,DEF,a,45,26,720,0,0,,,,,
323,Samuel Amissah,Amissah,amissah,Fulham,DEF,a,39,0,0,0,0,,,,,
324,Alex Iwobi,Iwobi,iwobi,Fulham,MID,a,65,40,899,1,2,14.0,,450.0,,8.0
325,Emile Smith Rowe,Smith Rowe,rowe,Fulham,MID,a,56,16,216,1,0,,,,,
326,Adama Traoré Diarra,Adama,adama,Fulham,MID,a,52,11,242,0,0,,,,,
327,Andreas Hoelgebaum Pereira,Andreas,andreas,Fulham,MID,u,53,0,0,0,0,,,,,
328,Ryan Sessegnon,Sessegnon,sessegnon,Fulham,MID,a,54,47,836,2,2,,,,,
329,Harry Wilson,Wilson,wilson,Fulham,MID,a,52,34,652,2,1,19.0,8.0,,,11.0
330,Sander Berge,Berge,berge,Fulham,MID,a,49,27,958,0,1,,,489.0,435.0,
331,Tom Cairney,Cairney,cairney,Fulham,MID,a,49,8,196,0,0,,,,,
332,Saša Lukić,Lukić,lukic,Fulham,MID,s,50,27,677,1,2,,,,,
333,Martial Godo,Godo,godo,Fulham,MID,u,45,0,0,0,0,,,,,
334,Luke Harris,Harris,harris,Fulham,MID,u,45,0,0,0,0,,,,,
335,Josh King,King,king,Fulham,MID,a,45,19,659,0,0,,,,,8.0
336,Harrison Reed,Reed,reed,Fulham,MID,a,43,0,0,0,0,,,,,
337,Raúl Jiménez Rodríguez,Raúl,raul,Fulham,FWD,a,62,25,449,1,2,,,,,
338,Rodrigo Muniz Carvalho,Muniz,muniz,Fulham,FWD,d,54,17,348,1,1,,,,,
664,Benjamin Lecomte,Lecomte,lecomte,Fulham,GKP,a,40,0,0,0,0,,,,,
727,Samuel Chukwueze,Chukwueze,chukwueze,Fulham,MID,a,53,7,77,0,1,,,,,
731,Kevin Santos Lopes de Macedo,Kevin,kevin,Fulham,MID,a,59,10,314,0,0,,,,,
737,Jonah Kusi-Asare,Kusi-Asare,asare,Fulham,FWD,a,45,1,1,0,0,,,,,
339,Illan Meslier,Meslier,meslier,Leeds,GKP,a,43,0,0,0,0,,,,,
340,Alex Cairns,Cairns,cairns,Leeds,GKP,a,40,0,0,0,0,,,,,
341,Karl Darlow,Darlow,darlow,Leeds,GKP,a,40,10,450,0,0,,,,,
342,Jayden Bogle,Bogle,bogle,Leeds,DEF,a,45,28,958,0,1,,,,,
343,Pascal Struijk,Struijk,struijk,Leeds,DEF,a,44,25,728,0,0,,,526.0,486.0,
344,Jaka Bijol,Bijol,bijol,Leeds,DEF,a,39,6,261,0,0,,,,,
345,Sebastiaan Bornauw,Bornauw,bornauw,Leeds,DEF,d,39,0,0,0,0,,,,,
346,Sam Byram,Byram,byram,Leeds,DEF,a,39,1,7,0,0,,,,,
347,Gabriel Gudmundsson,Gudmundsson,gudmundsson,Leeds,DEF,a,40,27,911,0,0,,,,,
348,Joe Rodon,Rodon,rodon,Leeds,DEF,a,41,46,990,2,0,,,626.0,561.0,
349,Isaac Schmidt,Schmidt,schmidt,Leeds,DEF,u,40,0,0,0,0,,,,,
350,Brenden Aaronson,Aaronson,aaronson,Leeds,MID,a,54,41,709,1,3,14.0,5.0,,,8.0
351,Wilfried Gnonto,Gnonto,gnonto,Leeds,MID,a,52,6,191,0,0,,,,,
352,Jack Harrison,Harrison,harrison,Leeds,MID,a,52,11,261,0,0,,,,,
353,Daniel James,James,james,Leeds,MID,a,53,11,284,0,0,,,507.0,450.0,
354,Ethan Ampadu,Ampadu,ampadu,Leeds,MID,a,49,24,787,0,0,,,504.0,435.0,
355,Sam Greenwood,Greenwood,greenwood,Leeds,MID,u,49,0,0,0,0,,,,,
356,Ilia Gruev,Gruev,gruev,Leeds,MID,a,48,7,211,0,0,,,,,
357,Largie Ramazani,Ramazani,ramazani,Leeds,MID,u,49,0,0,0,0,,,,,
358,Tanaka Ao,Tanaka,tanaka,Leeds,MID,a,48,13,320,0,0,,,,,
359,Charlie Crew,Crew,crew,Leeds,MID,u,45,0,0,0,0,,,,,
360,Joe Gelhardt,Gelhardt,gelhardt,Leeds,MID,u,45,0,0,0,0,,,,,
361,Darko Gyabi,Gyabi,gyabi,Leeds,MID,u,45,0,0,0,0,,,,,
362,Joël Piroe,Piroe,piroe,Leeds,FWD,a,50,6,178,0,0,,,,,
363,Patrick Bamford,Bamford,bamford,Leeds,FWD,u,49,0,0,0,0,,,,,
364,Mateo Joseph Fernández-Regatillo,Mateo Joseph,joseph,Leeds,FWD,u,50,0,0,0,0,,,,,
365,Lukas Nmecha,Nmecha,nmecha,Leeds,FWD,a,50,23,272,2,0,,,,,
493,Sean Longstaff,Longstaff,longstaff,Leeds,MID,a,49,38,787,1,2,,,,,
660,Anton Stach,Stach,stach,Leeds,MID,a,49,40,798,1,2,15.0,,,,8.0
665,Lucas Estella Perri,Perri,perri,Leeds,GKP,a,45,17,540,0,0,,,,,
691,Dominic Calvert-Lewin,Calvert-Lewin,lewin,Leeds,FWD,a,55,25,614,1,1,17.0,8.0,,,8.0
698,Noah Okafor,Okafor,okafor,Leeds,MID,a,55,29,515,2,1,,,,,
706,James Justin,Justin,justin,Leeds,DEF,a,40,4,77,0,0,,,,,
741,Harry Gray,Gray,gray,Leeds,FWD,a,45,0,0,0,0,,,,,
366,Alisson Becker,A.Becker,becker,Liverpool,GKP,i,54,20,540,0,0,,,,,
367,Giorgi Mamardashvili,Mamardashvili,mamardashvili,Liverpool,GKP,a,43,19,450,0,0,,,,,
368,Ármin Pécsi,Pécsi,pecsi,Liverpool,GKP,a,39,0,0,0,0,,,,,
369,Freddie Woodman,Woodman,woodman,Liverpool,GKP,a,39,0,0,0,0,,,,,
370,Jeremie Frimpong,Frimpong,frimpong,Liverpool,DEF,i,57,7,83,0,1,,,,,
371,Milos Kerkez,Kerkez,kerkez,Liverpool,DEF,a,57,21,694,1,0,,,,,
372,Andrew Robertson,Robertson,robertson,Liverpool,DEF,a,58,11,291,0,0,,,,,
373,Virgil van Dijk,Virgil,virgil,Liverpool,DEF,a,59,41,990,0,0,,,,,
374,Ibrahima Konaté,Konaté,konate,Liverpool,DEF,a,54,39,922,0,0,,,670.0,606.0,
375,Conor Bradley,Bradley,bradley,Liverpool,DEF,a,50,15,529,0,1,,,,,
376,Joe Gomez,Gomez,gomez,Liverpool,DEF,a,49,4,43,0,0,,,,,
377,Konstantinos Tsimikas,Tsimikas,tsimikas,Liverpool,DEF,u,48,0,0,0,0,,,,,
378,Amara Nallo,Nallo,nallo,Liverpool,DEF,a,38,0,0,0,0,,,,,
379,Rhys Williams,R.Williams,williams,Liverpool,DEF,a,38,0,0,0,0,,,,,
380,Calvin Ramsay,Ramsay,ramsay,Liverpool,DEF,a,38,0,0,0,0,,,,,
381,Mohamed Salah,M.Salah,salah,Liverpool,MID,a,142,54,984,4,2,26.0,9.0,,,11.0
382,Florian Wirtz,Wirtz,wirtz,Liverpool,MID,a,80,19,686,0,0,,,,,
383,Luis Díaz Marulanda,Luis Díaz,diaz,Liverpool,MID,u,80,0,0,0,0,,,,,
384,Cody Gakpo,Gakpo,gakpo,Liverpool,MID,a,75,46,829,3,2,27.0,,,,11.0
385,Federico Chiesa,Chiesa,chiesa,Liverpool,MID,a,64,20,117,2,1,,,,,
386,Alexis Mac Allister,Mac Allister,allister,Liverpool,MID,a,63,25,637,0,2,,,,,
387,Dominik Szoboszlai,Szoboszlai,szoboszlai,Liverpool,MID,a,66,44,990,1,1,21.0,7.0,659.0,573.0,
388,Curtis Jones,C.Jones,jones,Liverpool,MID,a,54,13,338,0,1,,,,,
390,Ryan Gravenberch,Gravenberch,gravenberch,Liverpool,MID,a,56,52,781,3,2,,5.0,547.0,481.0,
392,Endo Wataru,Endo,endo,Liverpool,MID,a,49,6,36,0,1,,,,,
393,Stefan Bajčetić Maquieira,Bajcetic,bajcetic,Liverpool,MID,i,43,0,0,0,0,,,,,
394,James McConnell,McConnell,mcconnell,Liverpool,MID,u,44,0,0,0,0,,,,,
395,Tyler Morton,Morton,morton,Liverpool,MID,u,45,0,0,0,0,,,,,
396,Trey Nyoni,Nyoni,nyoni,Liverpool,MID,a,43,0,0,0,0,,,,,
397,Darwin Núñez Ribeiro,Darwin,darwin,Liverpool,FWD,u,65,0,0,0,0,,,,,
398,Jayden Danns,Danns,danns,Liverpool,FWD,i,44,0,0,0,0,,,,,
499,Alexander Isak,Isak,isak,Liverpool,FWD,a,104,10,250,0,1,,,,,
661,Hugo Ekitiké,Ekitiké,ekitike,Liverpool,FWD,a,86,39,630,3,1,16.0,,,,7.0
686,Rio Ngumoha,Ngumoha,ngumoha,Liverpool,MID,a,45,9,30,1,0,,,,,
692,Giovanni Leoni,Leoni,leoni,Liverpool,DEF,i,49,0,0,0,0,,,,,
746,Kieran Morrison,Morrison,morrison,Liverpool,MID,a,45,0,0,0,0,,,,,
182,James Trafford,Trafford,trafford,Man City,GKP,a,47,11,270,0,0,,,,,
399,Ederson Santana de Moraes,Ederson M.,m,Man City,GKP,u,53,0,0,0,0,,,,,
400,Stefan Ortega Moreno,Ortega Moreno,moreno,Man City,GKP,a,48,0,0,0,0,,,,,
401,Marcus Bettinelli,Bettinelli,bettinelli,Man City,GKP,a,40,0,0,0,0,,,,,
402,Rayan Aït-Nouri,Aït-Nouri,nouri,Man City,DEF,a,58,11,203,0,0,,,,,
403,Joško Gvardiol,Gvardiol,gvardiol,Man City,DEF,a,58,34,609,0,1,,,,388.0,
404,Manuel Akanji,Akanji,akanji,Man City,DEF,u,54,0,0,0,0,,,,,
405,Nathan Aké,Aké,ake,Man City,DEF,a,53,10,201,0,0,,,,,
406,Abdukodir Khusanov,Khusanov,khusanov,Man City,DEF,a,54,11,227,0,0,,,,,
407,Matheus Nunes,Matheus N.,n,Man City,DEF,a,53,45,693,1,2,,,,,
408,Rúben dos Santos Gato Alves Dias,Rúben,ruben,Man City,DEF,a,55,45,905,0,0,,,,,
409,John Stones,Stones,stones,Man City,DEF,a,54,11,324,0,0,,,,,
410,Rico Lewis,Lewis,lewis,Man City,DEF,a,48,15,172,0,1,,,,,
411,Nico O'Reilly,O’Reilly,reilly,Man City,DEF,a,49,51,683,1,2,,,,,
412,Vitor de Oliveira Nunes dos Reis,Vitor Reis,reis,Man City,DEF,u,50,0,0,0,0,,,,,
413,Omar Marmoush,Marmoush,marmoush,Man City,MID,a,83,12,178,0,1,,,,,
414,Phil Foden,Foden,foden,Man City,MID,a,80,31,711,1,1,15.0,,,,8.0
415,Sávio Moreira de Oliveira,Savinho,savinho,Man City,MID,a,69,16,388,0,1,,,,,
416,Bernardo Mota Veiga de Carvalho e Silva,Bernardo,bernardo,Man City,MID,a,63,25,640,0,2,,,,,
417,Rayan Cherki,Cherki,cherki,Man City,MID,a,63,20,213,1,2,,,,,
418,Jérémy Doku,Doku,doku,Man City,MID,a,64,44,617,1,4,,7.0,,,
420,İlkay Gündoğan,Gündoğan,gundogan,Man City,MID,u,63,0,0,0,0,,,,,
421,Rodrigo 'Rodri' Hernandez Cascante,Rodrigo,rodrigo,Man City,MID,d,63,12,292,0,0,,,,,
422,Mateo Kovačić,Kovačić,kovacic,Man City,MID,i,59,1,4,0,0,,,,,
423,Nico González Iglesias,N.Gonzalez,gonzalez,Man City,MID,a,59,28,644,1,0,,,522.0,468.0,
424,Oscar Bobb,Bobb,bobb,Man City,MID,a,53,18,451,0,1,,,,,
425,Claudio Echeverri,Echeverri,echeverri,Man City,MID,u,54,0,0,0,0,,,,,
427,Tijjani Reijnders,Reijnders,reijnders,Man City,MID,a,55,34,757,1,2,21.0,6.0,,386.0,11.0
428,Sverre Nypan,Nypan,nypan,Man City,MID,u,50,0,0,0,0,,,,,
429,Kalvin Phillips,Phillips,phillips,Man City,MID,a,48,0,0,0,0,,,,,
430,Erling Haaland,Haaland,haaland,Man City,FWD,a,149,102,944,14,1,45.0,27.0,,,24.0
736,Gianluigi Donnarumma,Donnarumma,donnarumma,Man City,GKP,a,57,31,720,0,0,,,,,
739,Divine Mukasa,Mukasa,mukasa,Man City,MID,a,45,0,0,0,0,,,,,
740,Stephen Mfuni,Mfuni,mfuni,Man City,DEF,a,40,0,0,0,0,,,,,
742,Ryan McAidoo,McAidoo,mcaidoo,Man City,MID,a,45,0,0,0,0,,,,,
119,Bryan Mbeumo,Mbeumo,mbeumo,Man Utd,MID,a,85,60,955,5,1,26.0,14.0,,,12.0
431,Altay Bayındır,Bayindir,bayindir,Man Utd,GKP,a,48,11,540,0,0,,,,,
432,André Onana,Onana,onana,Man Utd,GKP,u,49,0,0,0,0,,,,,
433,Elyh Harrison,Harrison,harrison,Man Utd,GKP,u,40,0,0,0,0,,,,,
434,Tom Heaton,Heaton,heaton,Man Utd,GKP,a,39,0,0,0,0,,,,,
435,Dermot Mee,Mee,mee,Man Utd,GKP,a,39,0,0,0,0,,,,,
436,Matthijs de Ligt,De Ligt,ligt,Man Utd,DEF,a,50,39,990,1,0,,,493.0,431.0,
437,Lisandro Martínez,Martinez,martinez,Man Utd,DEF,i,48,0,0,0,0,,,,,
438,Noussair Mazraoui,Mazraoui,mazraoui,Man Utd,DEF,a,49,10,200,0,0,,,,,
439,Diego León Blanco,D.Leon,leon,Man Utd,DEF,a,42,0,0,0,0,,,,,
440,Diogo Dalot Teixeira,Dalot,dalot,Man Utd,DEF,a,44,22,592,0,2,,,,,
441,Patrick Dorgu,Dorgu,dorgu,Man Utd,DEF,a,42,16,622,0,1,,,,,
442,Harry Maguire,Maguire,maguire,Man Utd,DEF,d,44,33,341,1,1,,,,,
443,Luke Shaw,Shaw,shaw,Man Utd,DEF,a,45,28,933,0,1,,,558.0,476.0,
444,Leny Yoro,Yoro,yoro,Man Utd,DEF,a,44,23,638,0,1,,,,,
445,Harry Amass,Amass,amass,Man Utd,DEF,u,40,0,0,0,0,,,,,
446,Tyler Fredricson,Fredricson,fredricson,Man Utd,DEF,a,39,0,0,0,0,,,,,
447,Ayden Heaven,Heaven,heaven,Man Utd,DEF,a,38,4,28,0,1,,,,,
448,Tyrell Malacia,Malacia,malacia,Man Utd,DEF,a,39,0,0,0,0,,,,,
449,Bruno Borges Fernandes,B.Fernandes,fernandes,Man Utd,MID,a,89,50,980,2,3,25.0,8.0,623.0,513.0,12.0
450,Matheus Santos Carneiro da Cunha,Cunha,cunha,Man Utd,MID,a,79,26,683,1,0,22.0,10.0,,,14.0
451,Marcus Rashford,Rashford,rashford,Man Utd,MID,u,70,0,0,0,0,,,,,
452,Amad Diallo,Amad,amad,Man Utd,MID,a,63,37,753,1,3,,,,,
454,Antony dos Santos,Antony,antony,Man Utd,MID,u,59,0,0,0,0,,,,,
455,Mason Mount,Mount,mount,Man Utd,MID,a,59,22,349,1,0,,,,,
457,Carlos Henrique Casimiro,Casemiro,casemiro,Man Utd,MID,d,55,47,617,3,2,,,,,
458,Kobbie Mainoo,Mainoo,mainoo,Man Utd,MID,d,47,7,138,0,0,,,,,
459,Manuel Ugarte Ribeiro,Ugarte,ugarte,Man Utd,MID,a,48,13,299,0,0,,,,,
460,Toby Collyer,Collyer,collyer,Man Utd,MID,u,45,0,0,0,0,,,,,
461,Jayce Fitzgerald,Fitzgerald,fitzgerald,Man Utd,MID,a,44,0,0,0,0,,,,,
462,Jack Fletcher,J.Fletcher,fletcher,Man Utd,MID,a,44,0,0,0,0,,,,,
463,Sékou Koné,Kone,kone,Man Utd,MID,a,44,0,0,0,0,,,,,
464,Jack Moorhouse,Moorhouse,moorhouse,Man Utd,MID,u,45,0,0,0,0,,,,,
465,Rasmus Højlund,Højlund,jlund,Man Utd,FWD,u,63,0,0,0,0,,,,,
466,Joshua Zirkzee,Zirkzee,zirkzee,Man Utd,FWD,a,58,4,82,0,0,,,,,
467,Chido Obi,Obi,obi,Man Utd,FWD,a,43,0,0,0,0,,,,,
468,Ethan Wheatley,Wheatley,wheatley,Man Utd,FWD,u,45,0,0,0,0,,,,,
681,Benjamin Sesko,Šeško,sesko,Man Utd,FWD,d,73,31,616,2,1,18.0,7.0,,,11.0
733,Senne Lammens,Lammens,lammens,Man Utd,GKP,a,50,16,450,0,0,,,,,
52,Jacob Ramsey,J.Ramsey,ramsey,Newcastle,MID,a,53,5,190,0,0,,,,,
135,Yoane Wissa,Wissa,wissa,Newcastle,FWD,i,73,0,0,0,0,,,,,
469,Nick Pope,Pope,pope,Newcastle,GKP,a,52,52,976,0,1,,,,,
471,Mark Gillespie,Gillespie,gillespie,Newcastle,GKP,a,40,0,0,0,0,,,,,
472,Odysseas Vlachodimos,Odysseas,odysseas,Newcastle,GKP,u,40,0,0,0,0,,,,,
473,Lewis Hall,Hall,hall,Newcastle,DEF,a,52,9,146,0,0,,,,,
474,Fabian Schär,Schär,schar,Newcastle,DEF,a,54,25,424,0,0,,,,,
475,Sven Botman,Botman,botman,Newcastle,DEF,a,49,31,642,0,0,,,,,
476,Dan Burn,Burn,burn,Newcastle,DEF,s,52,48,972,0,1,,,,,
477,Tino Livramento,Livramento,livramento,Newcastle,DEF,i,49,37,526,0,1,,,,,
478,Kieran Trippier,Trippier,trippier,Newcastle,DEF,a,50,30,699,0,0,,,469.0,,
479,Emil Krafth,Krafth,krafth,Newcastle,DEF,a,43,0,45,0,0,,,,,
480,Jamaal Lascelles,Lascelles,lascelles,Newcastle,DEF,a,43,1,19,0,0,,,,,
481,Alex Murphy,A.Murphy,murphy,Newcastle,DEF,a,39,0,0,0,0,26.0,10.0,,,18.0
482,Harrison Ashby,Ashby,ashby,Newcastle,DEF,i,39,0,0,0,0,,,,,
483,Miodrag Pivaš,Pivas,pivas,Newcastle,DEF,a,39,0,0,0,0,,,,,
484,Matt Targett,Targett,targett,Newcastle,DEF,u,40,0,0,0,0,,,,,
485,Anthony Gordon,Gordon,gordon,Newcastle,MID,d,74,12,461,0,0,14.0,5.0,,,10.0
486,Anthony Elanga,Elanga,elanga,Newcastle,MID,a,67,16,411,0,0,,,,,
487,Harvey Barnes,Barnes,barnes,Newcastle,MID,a,63,24,464,1,0,,,,,
488,Bruno Guimarães Rodriguez Moura,Bruno G.,g,Newcastle,MID,a,66,50,895,3,2,,,,,
489,Jacob Murphy,J.Murphy,murphy,Newcastle,MID,a,61,36,566,2,1,26.0,10.0,,,18.0
490,Joelinton Cássio Apolinário de Lira,Joelinton,joelinton,Newcastle,MID,d,59,21,649,0,0,,,,,
491,Sandro Tonali,Tonali,tonali,Newcastle,MID,a,54,32,869,0,1,,5.0,562.0,484.0,
492,Antoñito Cordero Campillo,Antoñito C.,c,Newcastle,MID,u,49,0,0,0,0,,,,,
494,Joe Willock,Willock,willock,Newcastle,MID,a,50,5,99,0,0,,,,,
495,Isaac Hayden,Hayden,hayden,Newcastle,MID,u,45,0,0,0,0,,,,,
496,Garang Kuol,Kuol,kuol,Newcastle,MID,u,44,0,0,0,0,,,,,
497,Lewis Miley,L.Miley,miley,Newcastle,MID,a,44,14,273,0,1,,,,,
498,Joe White,White,white,Newcastle,MID,u,45,0,0,0,0,25.0,8.0,,,11.0
500,William Osula,Osula,osula,Newcastle,FWD,i,55,18,213,1,1,,,,,
501,Sean Neave,Neave,neave,Newcastle,FWD,a,44,0,0,0,0,,,,,
674,Aaron Ramsdale,Ramsdale,ramsdale,Newcastle,GKP,a,48,0,13,0,0,,,,,
684,Malick Thiaw,Thiaw,thiaw,Newcastle,DEF,a,49,26,632,0,0,,,,,
689,Seung-Soo Park,Seung soo,soo,Newcastle,MID,a,44,0,0,0,0,,,,,
714,Nick Woltemade,Woltemade,woltemade,Newcastle,FWD,a,74,40,613,4,1,,,,,7.0
12,Oleksandr Zinchenko,Zinchenko,zinchenko,Nott'm Forest,DEF,i,49,5,253,0,0,,,,,
426,James McAtee,McAtee,mcatee,Nott'm Forest,MID,a,51,4,126,0,0,,,,,
502,Matz Sels,Sels,sels,Nott'm Forest,GKP,a,48,23,990,0,0,,,,,
503,Carlos Miguel dos Santos Pereira,C.Miguel,miguel,Nott'm Forest,GKP,u,40,0,0,0,0,,,,,
504,Matt Turner,Turner,turner,Nott'm Forest,GKP,u,40,0,0,0,0,,,,,
505,Nikola Milenković,Milenković,milenkovic,Nott'm Forest,DEF,a,52,19,990,0,0,,,556.0,495.0,
506,Murillo Costa dos Santos,Murillo,murillo,Nott'm Forest,DEF,a,53,13,649,0,0,,,,,
507,Ola Aina,Aina,aina,Nott'm Forest,DEF,i,47,6,270,0,0,,,,,
508,Neco Williams,N.Williams,williams,Nott'm Forest,DEF,a,47,20,990,1,0,,,,,
509,David Mota Veiga Teixeira do Carmo,David Carmo,carmo,Nott'm Forest,DEF,u,45,0,0,0,0,,,,,
510,Jair Paula da Cunha Filho,Jair Cunha,cunha,Nott'm Forest,DEF,a,43,3,90,0,0,22.0,10.0,,,14.0
511,Felipe Rodrigues da Silva,Morato,morato,Nott'm Forest,DEF,a,44,8,438,0,0,,,,,
512,Omar Richards,O.Richards,richards,Nott'm Forest,DEF,u,45,0,0,0,0,,,,,
513,Zach Abbott,Abbott,abbott,Nott'm Forest,DEF,a,39,0,0,0,0,,,,,
514,Willy Boly,Boly,boly,Nott'm Forest,DEF,a,39,0,0,0,0,,,,,
515,Morgan Gibbs-White,Gibbs-White,white,Nott'm Forest,MID,a,73,40,906,2,1,25.0,8.0,,,11.0
